"","WT.Mock.1","WT.Mock.2","WT.Mock.3","WT.IAV.1","WT.IAV.2","WT.IAV.3","KO.Mock.1","KO.Mock.2","KO.Mock.3","KO.IAV.1","KO.IAV.2","KO.IAV.3"
"TC14001622.hg.1",4.67967854574849,4.42921389079357,4.47371054856059,4.75938216749911,4.84106163568935,4.64806364848357,4.29063402944814,4.58622495316274,4.24596284021442,4.47088488023663,4.49656178793901,4.38048656418256
"TC02000116.hg.1",8.86430727283477,8.85832012060752,8.93043803876954,8.86168794075043,8.88926200823508,8.8747000409855,8.43394286709262,8.4907539448832,8.53268681990219,8.26882197009604,8.39202795627712,8.1842353142456
"TC16000033.hg.1",7.14395404244983,7.34630508334733,7.35545136470991,7.4286005767583,7.36608355842543,7.03970014669146,7.01175128553824,7.28854789187664,6.86143047282077,6.95651653410521,7.05788190817599,7.25303757922596
"TC16001888.hg.1",5.85218732588776,5.6460644174781,5.64754768267206,5.723791429455,5.89048534455473,5.67627421195574,5.37211353361877,5.93335658289435,5.42004680305217,5.45905381510285,5.43046012608525,5.61870374999989
"TC16000497.hg.1",8.09758213244289,7.8964311505331,8.05034798141716,7.44206535709022,7.45689008317984,7.5463734662213,7.25710688993531,7.18638390875143,7.08740926548219,6.88265163781577,6.93390435500551,6.9991365335318
"TC17002020.hg.1",7.31380098554142,7.1409764031544,7.08081394983448,7.19923874298066,7.28236396095698,6.93674006686447,7.0994610097168,7.14047635575266,6.78679037078802,6.82034822411169,6.82905432202196,7.13171067418914
"TC17001616.hg.1",7.17074557774702,7.19090758638811,7.19980420242318,7.34291870226447,7.27599271780783,7.14666138155376,7.00798894897926,7.10544280145166,6.89031027276383,6.7710290781339,6.86272159474687,7.01429651122751
"TC17000926.hg.1",7.01655297962476,6.94227589097648,7.07308950743511,7.0974562013702,7.16125529143639,6.92375721164429,6.9785531550822,7.079666839982,6.76636225793199,6.79457265980035,6.78557132933931,6.94503411552705
"TC19000260.hg.1",5.66256586967311,5.83773149850985,5.59065437536053,5.9960712128839,5.90956062052898,5.89993271907567,5.58827269254942,5.63808323046432,5.41449956604179,5.45751060187961,5.45300409894974,5.6934507654084
"TC01002634.hg.1",6.43945893775594,6.25986168839985,6.25373460625974,6.40481717796742,6.32614188901402,6.10746452901564,6.19971696438733,6.33649769015952,5.95506875680425,6.00089481198301,6.02943254857424,6.21033210148695
"TC01006362.hg.1",4.54213677052681,4.3389786384238,4.53515264722338,4.78813954764794,4.82216012984002,4.86190019174831,4.38054046285461,4.3608914910464,4.15797579363967,4.92067136844599,4.80596046688182,4.84890324095189
"TC01000961.hg.1",6.78015657714745,6.76427437639818,6.72961350967678,6.78588655343908,6.81309904277843,6.70177472460189,6.55148714848208,6.64454506532454,6.368148129527,6.43117992212322,6.25924074247493,6.57380150434621
"TC01003080.hg.1",6.54269798668901,6.49306988428639,6.48959488549736,6.75616395403299,6.79911165988023,6.8488635097438,6.59120550378558,6.53758318110404,6.54512726779546,7.08869270765338,6.98974789883383,6.88217243734642
"TC01004726.hg.1",5.52590495078494,5.86999770783307,5.75548604104707,5.78964816397769,5.94477501537852,5.9466988930033,5.43094758460559,5.66489909450188,5.67970461872813,6.14688903937073,5.94274535981063,6.04531170876165
"TC01003244.hg.1",4.05471905782655,4.54747249597171,4.16456804201701,4.0791943934211,3.89835955410374,3.92116632114604,4.22652646042642,4.21664483567663,3.9273395416544,3.78809379374575,3.99676079388832,4.22315003938541
"TC01003246.hg.1",3.24558733837417,2.81207841495195,2.7349997542415,3.08394308275158,3.1654424435562,2.73425837814054,3.27014112358596,3.00181276938869,2.85364590302473,2.74619251004296,2.90197753571733,2.93363974104079
"TC12003227.hg.1",9.50512961718501,9.45391200280536,9.54264794093939,9.26458078940447,9.33435436057821,9.35938870341872,9.6367879752708,9.64788908544692,9.79574793584102,9.707259990857,9.75802312845892,9.6509197132018
"TC01004932.hg.1",6.4207575797427,6.45472209390383,6.51577166147422,6.22554269638556,6.49912538001081,6.78714881049393,6.93758425541238,6.79547866469082,6.73036659884193,7.20898933639926,6.85252935524629,7.11158181947533
