"","WT.Mock.1","WT.Mock.2","WT.Mock.3","WT.IAV.1","WT.IAV.2","WT.IAV.3","KO.Mock.1","KO.Mock.2","KO.Mock.3","KO.IAV.1","KO.IAV.2","KO.IAV.3"
"STEAP1",6.19312786800596,6.27247312004158,6.4109647952825,5.9932566691188,6.33667684015496,6.47962996330902,8.02380369120899,7.79207158037343,8.25930615403115,8.47830804980458,8.63492369316905,8.36583233453407
"GJA1",8.98361646771355,8.84085529345799,8.95855382952144,8.81994294376619,8.78804986663643,9.14436846613776,10.4883450501005,10.3949216398189,10.5637726359151,10.2786691316266,10.2581425664147,10.2182708445286
"CYFIP2",8.35518562197922,8.35920841019823,8.49116625233554,7.98116519783474,8.0179888381144,8.1184797211507,7.01225472371403,6.97198993483978,7.10942932719774,6.78800463989928,6.75462352600078,6.78995053846441
"NOX1",4.23679587105963,4.25660910407216,4.28900657869577,4.44801804851954,4.54720999159575,4.07631159719714,5.17494674156312,5.07371447081105,5.41420225532689,5.54796517249346,5.73829613350991,5.51808415063308
"LAMP3",5.82959774358108,5.77260490204338,6.05848671182828,9.03405424756383,9.12601609545806,9.24504696397812,5.80907390180876,5.72353406086232,5.7036039318402,9.31645631545227,9.29816592932147,9.18589530624423
"TSPAN13",7.41561379672243,7.37424067756286,7.47820122529734,7.03885910975751,7.11483909572072,7.24165015706009,8.45082048348069,8.43351840921324,8.69051905759358,8.67538056022551,8.72852522103185,8.62901371561402
"FILIP1",5.13850808394607,5.01798645336301,4.98869373017712,5.11749539843385,5.13078533745488,4.81696288485928,6.09206662418247,6.30682344620283,6.26358959160567,5.91063012017957,5.9973189370479,5.78291162588856
"RBMS3",6.29448980155617,6.35131279167602,6.43078129605282,6.32098683423192,6.30214975112482,6.31083411437109,7.23875504537433,7.14600375197845,7.56700020665258,7.44601020458534,7.51192777931153,7.30746518107081
"GLS",8.52778175493613,8.52203273032899,8.524891299585,8.07086328419587,7.84543835058138,8.22114193237889,6.94696925210954,6.88860348468516,7.13995612500391,6.82376256523593,6.71269309526183,6.56764218524774
"SFN",10.1898418381521,10.1951575349572,10.2750831516956,10.1782031045295,10.2143710948188,10.3130194871327,8.98480407238782,9.11870002205229,9.07240505852713,9.08092317897408,9.10189137996259,8.97333540907375
"SLCO4A1",8.91015710933483,8.71773903488799,8.78746353619208,8.81353883539643,8.68774044745408,8.71038377244303,7.83486854628926,7.83920654629303,7.83364095397084,7.73369294285947,7.714154712135,7.70957063828079
"IFNL2",6.36389662675105,6.38686253497517,6.23843078298427,10.4263312867803,10.5443831965737,10.7384473898746,6.09102780577757,6.54961758240027,5.86411524878768,9.57093905637873,9.53683264624535,9.25947230737094
"IFNL3",7.64046906604427,7.63785043673086,7.18521367724776,10.3899298650942,10.5922085294989,10.5772677427174,7.22062885461584,7.51648958695763,7.23198089419285,9.54156912364201,9.6374933871592,9.41989223644702
"IFNL1",6.07686120472956,6.39913856768111,6.03643431283894,9.9635231493787,10.1423553620712,10.2401470160278,6.1909927128097,6.5549932150082,6.09341909514251,9.1623648783528,8.93236389058747,8.71272113060794
"POC1B",7.90917030698651,7.8750407963543,8.03146001958017,7.7028356145731,7.72984362756933,8.06990642093303,8.92849736451493,8.82814484098658,9.13865533175769,8.87337400595525,8.86922327335288,8.75735084497815
"HNF1A-AS1",6.796797206461,6.66061323375639,6.57388273270089,6.56033789237707,6.27638478965871,6.3048956489323,7.16019354818784,7.50725684911276,7.85701750921929,7.67641304846495,7.77951535097677,7.20982228800506
"GPRIN3",3.50981694165382,3.17024904993432,3.1346139698075,3.28009819943891,3.72776655684568,3.56621046355554,6.81175848659008,6.69045788003456,7.01614099120349,6.59753869783325,6.87811043711419,6.4626672642157
"GPR37",4.82813547265862,4.76724598501742,4.71434987384201,4.93216127334465,4.83532101268923,4.80562451561911,7.04578410881562,6.7898601387176,7.14302147276992,7.81779823688756,7.83108580434078,7.64020320788092
"GPX2",7.17474588348986,7.12637781091706,7.21838675660806,6.73392241283594,6.73439024926095,6.71237572257362,7.83305277178653,7.88935955084865,8.11641758570249,7.75212703669697,7.94981004308717,7.78081676637025
"C16orf72",7.9857537799125,8.07955161042748,8.3010828631023,6.98862587733805,7.09762768316593,7.27170032066093,7.94576688084032,7.85269903804218,8.48158618351129,7.76984653947308,7.78870307421553,7.55000661363854
"CLEC2D",5.35585666665208,4.98721611906843,5.00881339413761,4.86341746738624,5.00908547209213,5.03952310049062,6.01251742439206,5.87441111661249,6.19742862917344,6.22576935097019,6.16374250543789,6.01270767245461
